id,bank_id,latitude,longitude,changeset,uid,timestamp,version
113,13,39.8754852,32.8637565,37896464,1686268,2016-03-17T13:33:51Z,1
114,9,39.872449,32.8612004,37896464,1686268,2016-03-17T13:33:51Z,1
115,3,39.8702134,32.8599452,37896464,1686268,2016-03-17T13:33:51Z,1
116,18,39.8735749,32.8626354,37896464,1686268,2016-03-17T13:33:51Z,1
117,2,39.8711892,32.8605326,37896464,1686268,2016-03-17T13:33:51Z,1
118,2,39.9695892,32.7829815,37993528,1386706,2016-03-22T07:37:10Z,1
119,3,39.9702439,32.7861753,37993821,1386706,2016-03-22T07:55:54Z,1
120,18,39.9711697,32.8377362,38014849,1386706,2016-03-23T08:08:02Z,1
121,17,39.9734489,32.8423265,38014849,1386706,2016-03-23T08:08:03Z,1
122,5,39.9731625,32.8428963,38014849,1386706,2016-03-23T08:08:03Z,1
123,16,39.9737334,32.8421794,38014849,1386706,2016-03-23T08:08:03Z,1
124,0,39.9741414,32.8416027,38014849,1386706,2016-03-23T08:08:03Z,1
125,4,39.9744294,32.8414649,38014849,1386706,2016-03-23T08:08:03Z,1
126,21,39.9743471,32.8415046,38014849,1386706,2016-03-23T08:08:03Z,1
127,9,39.9957248,32.8355838,38016094,1386706,2016-03-23T09:31:07Z,1
128,3,39.995443,32.8351624,38016094,1386706,2016-03-23T09:31:07Z,1
129,17,39.9965507,32.837035,38016094,1386706,2016-03-23T09:31:08Z,1
130,0,39.9963338,32.8366284,38016094,1386706,2016-03-23T09:31:08Z,1
131,4,39.9962246,32.8364751,38016094,1386706,2016-03-23T09:31:08Z,1
132,12,39.9961235,32.8362921,38016094,1386706,2016-03-23T09:31:08Z,1
133,18,39.9958136,32.8365816,38016094,1386706,2016-03-23T09:31:08Z,1
134,4,39.9950244,32.8637348,38034444,1386706,2016-03-24T06:50:28Z,1
135,9,39.9958329,32.8634649,38034444,1386706,2016-03-24T06:50:28Z,1
136,8,39.9962897,32.8633716,38034841,1386706,2016-03-24T07:20:48Z,1
137,3,39.997934,32.8631782,38034841,1386706,2016-03-24T07:20:49Z,1
138,5,39.9993237,32.8649541,38034841,1386706,2016-03-24T07:20:50Z,1
139,9,39.999221,32.8653498,38034841,1386706,2016-03-24T07:20:50Z,1
140,6,39.998851,32.8655206,38034841,1386706,2016-03-24T07:20:50Z,1
